species,Spnvisits
LASIOGLOSSUM brevicorne,6
LASIOGLOSSUM cupromicans,57
LASIOGLOSSUM fratellum,134
LASIOGLOSSUM fulvicorne,222
LASIOGLOSSUM laevigatum,65
LASIOGLOSSUM lativentre,105
LASIOGLOSSUM leucopus,194
LASIOGLOSSUM malachurum,286
LASIOGLOSSUM minutissimum,80
LASIOGLOSSUM nitidiusculum,14
LASIOGLOSSUM pauperatum,5
LASIOGLOSSUM pauxillum,144
LASIOGLOSSUM punctatissimum,103
LASIOGLOSSUM puncticolle,30
LASIOGLOSSUM rufitarse,47
LASIOGLOSSUM smeathmanellum,174
LASIOGLOSSUM villosulum,284
LASIOGLOSSUM xanthopus,23
LASIOGLOSSUM zonulum,86
SPHECODES crassus,46
SPHECODES ephippius,205
SPHECODES geoffrellus,143
SPHECODES ferruginatus,11
SPHECODES gibbus,72
SPHECODES hyalinatus,46
SPHECODES longulus,4
SPHECODES monilicornis,130
SPHECODES niger,31
SPHECODES puncticeps,72
SPHECODES reticulatus,22
SPHECODES rubicundus,10
SPHECODES spinulosus,4
MELITTA haemorrhoidalis,30
MELITTA leporina,41
MELITTA tricincta,30
DASYPODA hirtipes,22
MACROPIS europaea,34
STELIS ornatula,7
STELIS punctulatissima,8
CHELOSTOMA campanularum,63
CHELOSTOMA florisomne,74
OSMIA aurulenta,28
OSMIA bicolor,96
OSMIA caerulescens,102
OSMIA leaiana,73
HOPLITIS claviventris,37
MEGACHILE centuncularis,104
MEGACHILE leachella,38
MEGACHILE ligniseca,69
MEGACHILE maritima,35
MEGACHILE versicolor,109
MEGACHILE willughbiella,153
COELIOXYS elongata,22
COELIOXYS inermis,9
COELIOXYS mandibularis,2
COELIOXYS rufescens,12
COELIOXYS conoidea,14
NOMADA baccata,5
NOMADA conjungens,1
NOMADA fabriciana,235
NOMADA flava,364
NOMADA flavoguttata,253
NOMADA flavopicta,28
NOMADA fucata,139
NOMADA fulvicornis,16
NOMADA hirtipes,8
NOMADA lathburiana,58
NOMADA leucophthalma,74
NOMADA marshamella,333
NOMADA obtusifrons,8
NOMADA panzeri,152
NOMADA ruficornis,208
NOMADA sheppardana,16
NOMADA signata,5
NOMADA striata,41
NOMADA roberjeotiana,2
NOMADA ferruginata,10
EPEOLUS variegatus,36
EUCERA longicornis,30
ANTHOPHORA bimaculata,50
ANTHOPHORA furcata,80
ANTHOPHORA quadrimaculata,9
ANTHOPHORA retusa,0
MELECTA albifrons,49
CERATINA cyanea,21
HALICTUS eurygnathus,0
BOMBUS campestris,264
BOMBUS bohemicus,517
BOMBUS ruderarius,138
COLLETES floralis,41
HYLAEUS incongruus,7
ANDRENA falsifica,9
HALICTUS confusus,2
LASIOGLOSSUM angusticeps,0
LASIOGLOSSUM laticeps,3
SPHECODES miniatus,3
HERIADES truncorum,9
MEGACHILE circumcincta,21
NOMADA sexfasciata,0
COELIOXYS quadridentata,1
XYLOCOPA violacea,11
ANDRENA ruficrus,16
BOMBUS distinguendus,149
ANDRENA pilipes s.l.,14
STELIS phaeoptera,4
NOMADA argentata,4
OSMIA parietina,7
LASIOGLOSSUM sexnotatum,1
NOMADA guttulata,1
ANDRENA simillima,11
OSMIA pilicornis,6
MELITTA dimidiata,13
LASIOGLOSSUM semilucens,2
OSMIA uncinata,9
SPHECODES scabricollis,1
ANDRENA gravida,0
STELIS breviuscula,4
BOMBUS subterraneus,7
NOMADA errans,0
BOMBUS cryptarum,24
OSMIA xanthomelana,0
ANDRENA lathyri,1
OSMIA inermis,5
NOMADA armata,5
DUFOUREA minuta,0
HYLAEUS annularis,4
ANDRENA vaga,0
LASIOGLOSSUM sexstrigatum,0
HYLAEUS spilotus,0
ANDRENA rosae,1
Bombus lucorum s.s.,0
EUCERA nigrescens,0
Bry_1078,978
Bry_87,393
Bry_89,5738
Bry_19,6383
Bry_274,5533
Bry_863,548
Bry_523,1317
Bry_62,5946
Bry_1056,6802
Bry_578,1986
Bry_592,3710
Bry_163,3026
Bry_613,286
Bry_1052,4578
Bry_161,865
Bry_421,1694
Bry_485,2372
Bry_395,6117
Bry_534,2330
Bry_691,180
Bry_681,65
Bry_689,112
Bry_702,295
Bry_701,233
Bry_705,1428
Bry_695,636
Bry_706,1882
Bry_707,1060
Bry_704,142
Bry_714,1871
Bry_720,30
Bry_719,30
Bry_986,1601
Bry_742,632
Bry_747,2950
Bry_732,465
Bry_751,125
Bry_764,4838
Bry_768,1606
Bry_766,322
Bry_762,319
Bry_777,91
Bry_779,187
Bry_776,75
Bry_797,494
Bry_806,98
Bry_801,656
Bry_774,44
Bry_796,238
Bry_791,135
Bry_804,1384
Bry_807,1469
Bry_803,481
Bry_805,120
Bry_816,77
Bry_822,23
Bry_814,3006
Bry_824,1486
Bry_826,2765
Bry_831,997
Bry_827,1743
Bry_843,270
Bry_845,5244
Bry_859,655
Bry_854,446
Bry_853,85
Bry_846,53
Bry_858,1065
Bry_867,3294
Bry_872,2680
Bry_873,320
Bry_869,391
Bry_874,610
Bry_882,144
Bry_888,516
Bry_889,51
Bry_887,297
Bry_890,112
Bry_885,692
Bry_892,2137
Bry_900,277
Bry_901,1328
Bry_904,0
Bry_902,638
Bry_920,162
Bry_938,247
Bry_927,975
Bry_930,447
Bry_939,1793
Bry_943,760
Bry_932,62
Bry_947,432
Bry_951,19
Bry_956,192
Bry_952,116
Bry_944,191
Bry_949,39
Bry_950,25
Bry_4,8045
Bry_844,2808
Bry_7,529
Bry_22,776
Bry_27,208
Bry_35,270
Bry_34,89
Bry_33,629
Bry_40,5704
Bry_41,1180
Bry_45,4914
Bry_48,1612
Bry_57,2344
Bry_54,1453
Bry_51,1924
Bry_56,543
Bry_61,1306
Bry_65,164
Bry_66,512
Bry_69,657
Bry_63,1520
Bry_80,2562
Bry_78,648
Bry_72,1888
Bry_77,1398
Bry_81,11986
Bry_85,766
Bry_1054,5287
Bry_94,8781
Bry_90,5355
Bry_106,8
Bry_112,56
Bry_115,2852
Bry_113,1726
Bry_110,478
Bry_107,751
Bry_129,228
Bry_126,928
Bry_128,5684
Bry_137,624
Bry_141,3662
Bry_139,1683
Bry_151,6697
Bry_145,23
Bry_153,442
Bry_158,598
Bry_157,1614
Bry_166,2115
Bry_166.3,941
Bry_180,1384
Bry_184,4793
Bry_186,989
Bry_187,665
Bry_193,4069
Bry_191,165
Bry_189,1668
Bry_203,1289
Bry_194,10
Bry_207,109
Bry_206,5342
Bry_217,389
Bry_210,348
Bry_218,11
Bry_228,351
Bry_216,362
Bry_222,396
Bry_224,219
Bry_226,695
Bry_239,491
Bry_245,5230
Bry_233,754
Bry_249,12165
Bry_248,538
Bry_251,2706
Bry_256,4570
Bry_255,3538
Bry_257,988
Bry_4142,3228
Bry_262,972
Bry_276,1609
Bry_269,371
Bry_266,660
Bry_284,2912
Bry_291,4244
Bry_306,387
Bry_302,87
Bry_311,123
Bry_331,858
Bry_312,5766
Bry_335,1079
Bry_333,896
Bry_340,482
Bry_336,300
Bry_348,841
Bry_346,2697
Bry_347,176
Bry_351,12981
Bry_350,71
Bry_4143,10859
Bry_351.8,1418
Bry_357,3121
Bry_374,725
Bry_365,353
Bry_368,62
Bry_373,546
Bry_361,76
Bry_366,1441
Bry_363,1740
Bry_362,4497
Bry_382,7040
Bry_379,783
Bry_389,2880
Bry_414,6230
Bry_411,1650
Bry_415,2454
Bry_402,364
Bry_4446,618
Bry_438,31
Bry_449,730
Bry_439,1544
Bry_435,79
Bry_429,416
Bry_459,2349
Bry_463,2827
Bry_417,5338
Bry_451,41
Bry_465,951
Bry_458,1779
Bry_456,1115
Bry_482,3246
Bry_483,4406
Bry_467,51
Bry_462,46
Bry_470,1437
Bry_475,1349
Bry_489,1113
Bry_474,9
Bry_479,1764
Bry_480,473
Bry_501,2315
Bry_1781,287
Bry_488,1622
Bry_507,6324
Bry_514,534
Bry_503,589
Bry_519,1778
Bry_520,669
Bry_512,173
Bry_517,65
Bry_531,1702
Bry_525,1519
Bry_524,1596
Bry_524.3,1312
Bry_532,2355
Bry_533,9442
Bry_548,74
Bry_556,916
Bry_551,30
Bry_554,375
Bry_557,867
Bry_564,1798
Bry_571,1948
Bry_568,1539
Bry_567,1340
Bry_566,2131
Bry_574,223
Bry_562,379
Bry_570,385
Bry_560,123
Bry_576,42
Bry_1755,1936
Bry_1353,46
Bry_599,5263
Bry_582,86
Bry_595,352
Bry_610,2936
Bry_614,7238
Bry_624,816
Bry_4453,255
Bry_637,2545
Bry_627,1348
Bry_625,409
Bry_1758,2066
Bry_653,2445
Bry_1055,1080
Bry_650,1205
Bry_1005,113
Bry_642,271
Bry_676,1
Bry_667,773
Bry_674,2111
Bry_640,236
Bry_653.3,197
Bry_1000,219
Bry_84,935
Bry_1059,61
Bry_620,226
Bry_468,143
Bry_661,436
Bry_25,526
Bry_1813,805
Bry_201,402
Bry_741,103
Bry_71,22
Bry_819,265
Bry_530,122
Bry_918,708
Bry_868,2482
Bry_418,1173
Bry_537,63
Bry_26,523
Bry_960,360
Bry_197,179
Bry_527,74
Bry_589,1095
Bry_325,300
Bry_1401,1465
Bry_261,200
Bry_383,795
Bry_607,750
Bry_575,579
Bry_745,2481
Bry_672,773
Bry_692,95
Bry_246,99
Bry_394,240
Bry_47,4442
Bry_267,447
Bry_434,2568
Bry_529,1169
Bry_356,110
Bry_546,147
Bry_909,115
Bry_618,495
Bry_929,412
Bry_500,301
Bry_328,432
Bry_281,235
Bry_579,625
Bry_96,89
Bry_453,7
Bry_808,167
Bry_1777,4
Bry_309,13
Bry_4153,25
Bry_664,842
Bry_639,1226
Bry_337,338
Bry_772,551
Bry_360,28
Bry_899,423
Bry_428,607
Bry_142,961
Bry_44,34
Bry_4455,340
Bry_401,2110
Bry_407,357
Bry_164,2392
Bry_860,108
Bry_541,338
Bry_437,123
Bry_185,547
Bry_813,76
Bry_1,35
Bry_404,588
Bry_539,56
Bry_856,184
Bry_282,103
Bry_611,643
Bry_137.1,129
Bry_213,75
Bry_211,284
Bry_739,96
Bry_1058,35
Bry_630,95
Bry_301,79
Bry_1077,323
Bry_42,1698
Bry_538,294
Bry_491,98
Bry_818,106
Bry_321,278
Bry_861,75
Bry_703,205
Bry_1015,169
Bry_616,443
Bry_460,427
Bry_497,164
Bry_591,106
Bry_522,98
Bry_763,149
Bry_786,77
Bry_244,48
Bry_215,985
Bry_140,215
Bry_521,687
Bry_317,51
Bry_915,538
Bry_242,265
Bry_60,762
Bry_1014,38
Bry_1999,389
Bry_916,38
Bry_499,107
Bry_588,62
Bry_447,23
Bry_555,132
Bry_922,349
Bry_788,73
Bry_289,338
Bry_276.1,420
Bry_359,75
Bry_229,57
Bry_1037,38
Bry_466,479
Bry_1067,497
Bry_342,393
Bry_716,316
Bry_686,95
Bry_852,262
Bry_898,90
Bry_964,10
Bry_64,30
Bry_957,23
Bry_49,84
Bry_204,99
Bry_202,4
Bry_212,12
Bry_446,57
Bry_416,628
Bry_375,231
Bry_409,5
Bry_638,81
Bry_516,53
Bry_540,99
Bry_606,195
Bry_138,103
Bry_1072,1080
Bry_238,77
Bry_765,323
Bry_231,17
Bry_430,512
Bry_1068,492
Bry_254,137
Bry_958,103
Bry_871,59
Bry_897,32
Bry_665,404
Bry_190,12
Bry_298,163
Bry_53,916
Bry_973,9
Bry_1040,1
Bry_388,78
Bry_910,384
Bry_971,44
Bry_967,116
Bry_829,10
Bry_506,3
Bry_700,36
Bry_221,51
Bry_837,13
Bry_152,12
Bry_441,18
Bry_21,18
Bry_881,319
Bry_680,7
Bry_1352,16
Bry_511,40
Bry_123,21
Bry_842,46
Bry_783,118
Bry_684,49
Bry_572,18
Bry_841,13
Bry_926,17
Bry_544,51
Bry_339,67
Bry_727,152
Bry_569,41
Bry_870,4
Bry_810,150
Bry_559,370
Bry_655,85
Bry_384,2
Bry_1080,66
Bry_370,14
Bry_612,790
Bry_209,12
Bry_471,112
Bry_1770,45
Bry_344,409
Bry_196,97
Bry_730,36
Bry_177,0
Bry_563,86
Bry_598,12
Bry_93,5
Bry_234,71
Bry_82,22
Bry_199,24
Bry_174,10
Bry_750,103
Bry_286,211
Bry_602,175
Bry_496,146
Bry_552,2
Bry_122,2
Bry_3,350
Bry_223,368
Bry_6,191
Bry_1766,39
Bry_156,579
Bry_794,100
Bry_1011,88
Bry_782,29
Bry_20,65
Bry_744,319
Bry_722,43
Bry_253,108
Bry_281.2,65
Bry_1003,72
Bry_427,78
Bry_14,6
Bry_422,146
Bry_748,89
Bry_547,37
Bry_644,27
Bry_1024,11
Bry_424,0
Bry_16,8
Bry_154,133
Bry_555.2,46
Bry_236,1
Bry_442,113
Bry_271,29
Bry_265,165
Bry_1053,57
Bry_1503,233
Bry_322,36
Bry_647,6
Bry_461,248
Bry_815,138
Bry_392,179
Bry_1081,52
Bry_688,83
Bry_494,85
Bry_721,223
Bry_580,229
Bry_1018,13
Bry_235,112
Bry_1001,7
Bry_693,305
Bry_781,28
Bry_37,1
Bry_857,17
Bry_809,27
Bry_696,109
Bry_694,103
Bry_243,293
Bry_622,334
Bry_733,30
Bry_111,134
Bry_1030,2
Bry_380,30
Bry_91.3,8
Bry_481,276
Bry_715,36
Bry_931,25
Bry_433,37
Bry_391,151
Bry_896,111
Bry_968,8
Bry_498,60
Bry_767,63
Bry_543,20
Bry_583,113
Bry_545,26
Bry_884,47
Bry_1403,4
Bry_778,32
Bry_484,86
Bry_935,121
Bry_877,72
Bry_508,126
Bry_1772,4
Bry_205,6
Bry_1358,90
Bry_214,26
Bry_678,19
Bry_883,115
Bry_11,6
Bry_942,124
Bry_412,61
Bry_802,0
Bry_1355,14
Bry_978,13
Bry_1763,12
Bry_381,94
Bry_729,9
Bry_1070,4
Bry_76,335
Bry_143,38
Bry_709,61
Bry_354,155
Bry_690,37
Bry_658,41
Bry_683,218
Bry_504,13
Bry_38,88
Bry_817,5
Bry_169,140
Bry_985,15
Bry_743,12
Bry_936,51
Bry_749,1
Bry_1810,40
Bry_634,122
Bry_367,96
Bry_605,26
Bry_687,35
Bry_423,84
Bry_1060,10
Bry_473,21
Bry_879,27
Bry_195,9
Bry_830,22
Bry_959,12
Bry_1012,182
Bry_247,2
Bry_855,7
Bry_426,18
Bry_919,37
Bry_220,27
Bry_175,3
Bry_8,32
Bry_397,4
Bry_369,23
Bry_1032,35
Bry_880,3
Bry_364,32
Bry_188,39
Bry_876,90
Bry_1075,16
Bry_294,20
Bry_878,72
Bry_505,1
Bry_911,14
Bry_934,0
Bry_651,2
Bry_558,106
Bry_148,14
Bry_528,30
Bry_127,24
Bry_850,24
Bry_285,9
Bry_1775,29
Bry_1764,16
Bry_147,53
Bry_272,31
Bry_436,45
Bry_124,10
Bry_440,3
Bry_329,19
Bry_668,114
Bry_965,13
Bry_270,2
Bry_399,38
Bry_287,114
Bry_758,16
Bry_718,28
Bry_75,88
Bry_181,41
Bry_5,121
Bry_31,2
Bry_645,31
Bry_150,1
Bry_133,50
Bry_847,59
Bry_176,7
Bry_753,38
Bry_119,2
Bry_954,8
Bry_736,33
Bry_966,31
Bry_697,3
Bry_160,24
Bry_928,4
Bry_780,20
Bry_754,14
Bry_581,42
Bry_515,54
Bry_597,74
Bry_711,35
Bry_172,28
Bry_590,8
Bry_59,101
Bry_146,31
Bry_55,82
Bry_1031,100
Bry_1027,23
Bry_708.1,12
Bry_675,6
Bry_924,5
Bry_875,67
Bry_792,9
Bry_1765,60
Bry_1046,42
Bry_785,35
Bry_518,48
Bry_305,23
Bry_227,5
Bry_230,2
Bry_352,8
Bry_52,2
Bry_130,14
Bry_585,6
Bry_643,0
Bry_628,47
Bry_535,21
Bry_4466,12
Bry_353,24
Bry_208,14
Bry_838,33
Bry_735,9
Bry_784,73
Bry_828,82
Bry_835,40
Bry_895,10
Bry_963,2
Bry_12,17
Bry_36,14
Bry_292,6
Bry_386,2
Bry_486,44
Bry_549,13
Bry_626,24
Bry_621,5
Bry_790,60
Bry_937,52
Bry_769,5
Bry_666,14
Bry_793,23
Bry_165,5
Bry_23,87
Bry_273,1
Bry_604,8
Bry_454,6
Bry_731,12
Bry_1028,2
Bry_345,1
Bry_67,0
Bry_917,36
Bry_660,12
Bry_925,11
Bry_104,4
Bry_405,55
Bry_310,42
Bry_710,10
Bry_113.2,47
Bry_1048,8
Bry_648,2
Bry_144,7
Bry_864,14
Bry_1010,0
Bry_635,10
Bry_419,8
Bry_1004,1
Bry_903,23
Bry_13,18
Bry_159,12
Bry_677,0
Bry_975,1
Bry_178,32
Bry_240,18
Bry_219,5
Bry_162,9
Bry_300,12
Bry_135,27
Bry_91,31
Bry_1034,0
Bry_15,12
Bry_323,69
Bry_510,6
Bry_18,27
Bry_502,6
Bry_907,10
Bry_708.2,31
Bry_79,2
Bry_1356,0
Bry_341,2
Bry_886,58
Bry_1769,14
Bry_1044,5
Bry_946,46
Bry_513,1
Bry_787,2
Bry_420,1
Bry_1009,0
Bry_297.1,24
Bry_125,11
Bry_444,12
Bry_4454,2
Bry_39,21
Bry_609,3
Bry_1021,0
Bry_849,13
Bry_699,3
Bry_1016,27
Bry_487,3
Bry_1026,13
Bry_250,0
Bry_338,5
Bry_413,47
Bry_192,47
Bry_673,2
Bry_945,0
Bry_1069,1
Bry_862,0
Bry_100,11
Bry_268,7
Bry_349,2
Bry_377,19
Bry_603,2
Bry_795,0
Bry_320,2
Bry_410,3
Bry_387,11
Bry_962,39
Bry_232,6
Bry_118,0
Bry_101,1
Bry_894,41
Bry_334,3
Bry_646,12
Bry_914,2
Bry_200,11
Bry_671,13
Bry_953,1
Bry_724,2
Bry_561,16
Bry_728,4
Bry_258,1
Bry_972,7
Bry_86,2
Bry_149,17
Bry_775,4
Bry_713,3
Bry_408,12
Bry_332,3
Bry_355,0
Bry_1074,1
Bry_941,1
Bry_600,1
Bry_865,8
Bry_225,4
Bry_584,9
Bry_432,5
Bry_536,0
Bry_95,19
Bry_234.1,3
Bry_3101,13
Bry_167,0
Bry_182,5
Bry_740,14
Bry_183,2
Bry_723,1
Bry_343,4
Bry_656,8
Bry_296,2
Bry_948,0
Bry_825,1
Bry_406,20
Bry_961,2
Bry_670,12
Bry_92,0
Bry_685,15
Bry_32,1
Bry_3801,1
Bry_913,1
Bry_358,8
Bry_908,2
Bry_1042,2
Bry_593,0
Bry_1354,6
Bry_820,43
Bry_50,0
Bry_773,2
Bry_393,2
Bry_396,11
Bry_1404,0
Bry_601,1
Bry_378,1
Bry_1350,0
Bry_307,7
Bry_1407,1
Bry_550,1
Bry_252,0
Bry_74,5
Bry_439.4,3
Bry_1780,4
Bry_617,3
Bry_698,19
Bry_1816,5
Bry_615,0
Bry_836,3
Bry_1007,2
Bry_586,3
Bry_4440,1
Bry_752,5
Bry_1761,7
Bry_326,6
Bry_821,10
Bry_982,1
Bry_933,6
Bry_654,10
Bry_833,7
Bry_955,0
Bry_531.1,6
Bry_746,15
Bry_629,1
Bry_304,13
Bry_168,2
Bry_117,2
Bry_457,8
Bry_905,3
Bry_608,4
Bry_24,6
Bry_1023,19
Bry_4462,0
Bry_921,9
Bry_4456,0
Bry_4457,0
Bry_652,1
Bry_105,0
Bry_492,6
Bry_1017,5
Bry_682,1
Bry_1359,0
Bry_70,0
Bry_88,1
Bry_173,1
Bry_679,0
Bry_974,0
Bry_445,0
Bry_1411,0
Bry_4460,1
Bry_155,0
Bry_976,2
Bry_43,2
Bry_4438,0
Bry_1002,0
Bry_771,1
Bry_2501,0
Bry_770,0
Bry_131,0
Bry_4451,1
Bry_4464,2
Bry_1351,0
Bry_2,0
Bry_1020,1
Bry_298.1,0
Bry_469,0
Bry_198,1
Bry_542,0
Bry_98,2
Bry_83,1
Bry_46,0
Bry_179,1
Bry_789,0
Bry_400,3
Bry_4444,0
Bry_3201,6
Bry_299,1
Bry_725,0
Bry_4461,0
Bry_734,5
Bry_398,0
Bry_1349,0
Bry_151.1,0
Bry_891,3
Bry_509,0
Bry_327,0
Bry_726,2
Bry_2001,1
Bry_800,2
Bry_2901,0
Bry_372,0
Bry_4439,0
Bry_4445,0
Bry_1814,0
Bry_1771,0
Bry_893,1
Bry_4001,0
Bry_2201,2
Bry_1901,0
Bry_4458,0
Bry_1357,0
Bry_1762,0
Bry_290,0
Bry_1406,0
Bry_4441,1
Bry_4437,0
Bry_163.1,0
Col_3307,44
Col_3308,165
Col_3350,188
Col_3123,514
Col_3186,96
Col_3009,43
Col_3351,7
Col_3124,51
Col_3024,218
Col_3033,3
Col_2730,44
Col_3343,0
Col_3352,68
Col_3125,8
Col_3008,190
Col_3305,39
Col_3347,29
Col_2731,244
Col_3348,2
Col_3187,26
Col_1305,72
Col_1987,264
Col_1300,631
Col_5554,537
Col_2002,200
Col_2004,7
Col_2026,219
Col_3380,257
Col_5563,789
Col_1991,312
Col_2003,78
Col_2005,42
Col_2010,516
Col_2017,508
Col_2307,48
Col_2308,334
Col_3378,394
Col_6142,220
Col_6130,20
Col_7105,71
