species,Spnvisits
FORMICA rufa,312
FORMICA sanguinea,92
MYRMICA lobicornis,65
MYRMICA rubra,1168
MYRMICA ruginodis,2471
MYRMICA sabuleti,354
MYRMICA scabrinodis,1485
MYRMICA sulcinodis,47
LEPTOTHORAX acervorum,325
FORMICA fusca,833
FORMICA lemani,702
FORMICA lugubris,158
LASIUS flavus,1577
LASIUS niger s.l.,1211
TETRAMORIUM caespitum,109
FORMICA rufibarbis,1
FORMICA picea,2
LASIUS platythorax,128
LASIUS fuliginosus,208
LASIUS niger s.s.,974
LASIUS psammophilus,52
TEMNOTHORAX nylanderi,103
LASIUS brunneus,247
PONERA coarctata,19
MYRMECINA graminicola,49
FORMICOXENUS nitidulus,17
LASIUS alienus s.s.,56
MYRMICA schencki,36
LASIUS mixtus,35
LASIUS umbratus,41
LASIUS sabularum,8
FORMICA cunicularia,259
FORMICA aquilonia,77
TAPINOMA erraticum s.l.,9
LASIUS emarginatus,1
STENAMMA debile,78
MONOMORIUM pharaonis,4
MYRMICA specioides,81
LASIUS meridionalis,11
LASIUS alienus s.l.,116
STENAMMA westwoodii s.l.,27
Hypoponera punctatissima agg,5
Tetramorium atratulum,0
FORMICA exsecta,7
TEMNOTHORAX albipennis,26
TEMNOTHORAX interruptus,7
STENAMMA westwoodii s.s.,5
STRONGYLOGNATHUS testaceus,1
MYRMICA karavajevi,5
MYRMICA vandeli,1
MYRMICA hirsuta,1
TETRAMORIUM bicarinatum,1
SOLENOPSIS fugax,0
MYRMICA lonae,0
LASIUS neglectus,5
PONERA testacea,2
TEMNOTHORAX unifasciatus,0
LINEPITHEMA humile,1
PARATRECHINA longicornis,1
FORMICA pratensis,2
Corixa panzeri,212
Sigara stagnalis,130
Saldula pilosella,15
Aquarius paludum,23
Ranatra linearis,234
Notonecta glauca,1903
Gerris lacustris,1729
Corixa punctata,1220
Sigara lateralis,762
Gerris thoracicus,430
Hydrometra stagnorum,1339
Sigara dorsalis,1801
Sigara selecta,20
Nepa cinerea,1063
Ilyocoris cimicoides,753
Chartoscirta cincta,71
Gerris gibbifer,185
Aquarius najas,58
Saldula saltatoria,255
Callicorixa praeusta,1018
Sigara limitata,105
Paracorixa concinna,211
Plea minutissima,716
Microvelia reticulata,674
Cymatia coleoptrata,155
Velia caprai,1387
Limnoporus rufoscutellatus,2
Saldula c-album,37
Macrosaldula scotica,2
Velia saulii,114
Hesperocorixa sahlbergi,1371
Hesperocorixa linnaei,471
Sigara fossarum,372
Saldula palustris,41
Sigara nigrolineata,827
Notonecta obliqua,241
Notonecta viridis,355
Sigara striata,24
Notonecta maculata,203
Hesperocorixa castanea,296
Sigara scotti,321
Hebrus ruficeps,63
Aphelocheirus aestivalis,237
Sigara distincta,758
Sigara venusta,197
Gerris odontogaster,583
Salda littoralis,52
Arctocorisa germari,177
Sigara falleni,866
Arctocorisa carinata,40
Gerris argentatus,55
Sigara semistriata,166
Microvelia pygmaea,47
Micronecta scholtzi,165
Gerris costae,257
Gerris lateralis,90
Micronecta poweri,131
Cryptostemma alienum,14
Glaenocorisa propinqua,47
Callicorixa wollastoni,235
Cymatia bonsdorffii,147
Glaenocorisa propinqua subsp. propinqua,11
Saldula scotica,42
Ceratocombus coleoptratus,1
Hesperocorixa moesta,56
Corixa dentipes,95
Saldula orthochila,30
Saldula pallipes,27
Saldula arenicola,7
Micronecta griseola,4
Micronecta minutissima,10
Corixa affinis,40
Chartoscirta cocksii,10
Sigara iactans,3
Microvelia buenoi,8
Hydrometra gracilenta,7
Hebrus pusillus,18
Saldula opacula,14
Halosalda lateralis,16
Corixa iberica,32
Salda muelleri,7
Salda morio,5
Micracanthia marginalis,0
Cymatia rogenhoferi,0
Pachycoleus waltli,1
Chartoscirta elegantula,5
Saldula fucicola,3
Aepophilus bonnairei,1
Naucoris maculatus,0
Chiloxanthus pilosus,5
Cryptostemma waltli,1
Glaenocorisa propinqua subsp. cavifrons,1
COLLETES halophilus,18
COLLETES succinctus,170
COLLETES hederae,680
ANDRENA cineraria,283
ANDRENA clarkella,137
ANDRENA flavipes,399
ANDRENA florea,31
ANDRENA haemorrhoa,769
ANDRENA marginata,18
ANDRENA nigroaenea,384
ANDRENA nitida,383
Andrena scotica,505
HALICTUS rubicundus,353
HALICTUS tumulorum,452
LASIOGLOSSUM albipes,298
LASIOGLOSSUM calceatum,619
LASIOGLOSSUM leucozonium,292
LASIOGLOSSUM morio,448
LASIOGLOSSUM parvulum,125
LASIOGLOSSUM prasinum,22
LASIOGLOSSUM quadrinotatum,11
SPHECODES pellucidus,64
ANTHIDIUM manicatum,92
OSMIA bicornis,362
OSMIA spinulosa,139
NOMADA goodeniana,315
NOMADA rufipes,121
EPEOLUS cruciger,46
ANTHOPHORA plumipes,273
BOMBUS hortorum,1995
BOMBUS humilis,140
BOMBUS jonellus,713
BOMBUS lapidarius,2653
Bombus lucorum s.l.,3042
BOMBUS pascuorum,4214
BOMBUS pratorum,1759
BOMBUS terrestris,2110
BOMBUS hypnorum,1437
BOMBUS vestalis,761
APIS mellifera,450
BOMBUS sylvestris,441
BOMBUS magnus,313
BOMBUS barbutellus,136
BOMBUS soroeensis,230
BOMBUS monticola,419
BOMBUS ruderatus,77
BOMBUS sylvarum,69
BOMBUS rupestris,157
NOMADA integra,13
BOMBUS muscorum,543
COLLETES cunicularius,12
COLLETES daviesanus,135
COLLETES fodiens,53
COLLETES marginatus,10
COLLETES similis,53
HYLAEUS dilatatus,94
HYLAEUS brevicornis,83
HYLAEUS communis,293
HYLAEUS confusus,90
HYLAEUS cornutus,34
HYLAEUS hyalinatus,109
HYLAEUS pectoralis,20
HYLAEUS pictipes,5
HYLAEUS signatus,28
ANDRENA alfkenella,16
ANDRENA angustior,42
ANDRENA apicata,14
ANDRENA argentata,11
ANDRENA barbilabris,88
ANDRENA bicolor,454
ANDRENA bimaculata,17
ANDRENA bucephala,18
ANDRENA chrysosceles,321
ANDRENA coitana,45
ANDRENA congruens,11
ANDRENA denticulata,70
ANDRENA dorsata,298
ANDRENA ferox,0
ANDRENA fucata,102
ANDRENA fulva,302
ANDRENA fulvago,27
ANDRENA fuscipes,64
ANDRENA hattorfiana,32
ANDRENA helvola,95
ANDRENA humilis,36
ANDRENA labialis,55
ANDRENA labiata,82
ANDRENA lapponica,66
ANDRENA minutula,397
ANDRENA minutuloides,20
ANDRENA nigriceps,16
ANDRENA nitidiuscula,27
ANDRENA niveata,1
ANDRENA similis,23
ANDRENA ovatula,83
ANDRENA pilipes s.s.,17
ANDRENA praecox,68
ANDRENA proxima,12
ANDRENA semilaevis,188
ANDRENA subopaca,245
ANDRENA synadelpha,44
ANDRENA tarsata,45
ANDRENA thoracica,53
ANDRENA tibialis,12
ANDRENA trimmerana,44
ANDRENA varians,21
ANDRENA wilkella,177
ANDRENA nigrospina,1
PANURGUS calcaratus,54
PANURGUS banksianus,54
