"","species","mean_growth_rate","precision_growth_rate","mean_year_precision"
"1","FORMICA aquilonia_last10yrs",1.95719827437191,0.0291563044139005,2684.74990284443
"2","FORMICA cunicularia_last10yrs",-5.68535442988169,0.0727151723749873,2199.15800814637
"3","FORMICA exsecta_last10yrs",-1.81894527888244,0.0148138674312091,177806.984657894
"4","FORMICA fusca_last10yrs",-3.73936601105204,0.233611336934261,359.491656726886
"5","FORMICA lemani_last10yrs",-1.03765692511592,0.222578245305241,4764.22623507185
"6","FORMICA lugubris_last10yrs",0.566341476461686,0.112938846822432,35348.9736216375
"7","FORMICA picea_last10yrs",4.89620689482651,0.0164585919539257,97306.649090886
"8","FORMICA pratensis_last10yrs",-0.400246882667589,0.0336027334579354,7.59416093782273
"9","FORMICA rufa_last10yrs",-3.65469384517817,0.227527965480076,5295.08584445546
"10","FORMICA rufibarbis_last10yrs",-0.577241123572764,0.0155038352109573,757573.208791351
"11","FORMICA sanguinea_last10yrs",-0.868382783566226,0.1131915316205,4676.56208075665
"12","FORMICOXENUS nitidulus_last10yrs",-6.31804933625616,0.00991123070655994,17149.2070719234
"13","Hypoponera punctatissima agg_last10yrs",-0.887106130214654,0.0122130258532545,7.54138183067787
"14","LASIUS alienus s.l._last10yrs",-3.72680997100953,0.0243876033602301,2216.97714471186
"15","LASIUS alienus s.s._last10yrs",-6.74243159340807,0.0221077777840815,1653.02283498328
"16","LASIUS brunneus_last10yrs",2.37433932311369,0.0533116379406742,909.640405738657
"17","LASIUS emarginatus_last10yrs",1.36867521803156,0.0105525835512189,5.94535866900943
"18","LASIUS flavus_last10yrs",1.24254517185461,0.666305021935489,445.146301232922
"19","LASIUS fuliginosus_last10yrs",0.458451271151547,0.11055518911265,415.666594970349
"20","LASIUS meridionalis_last10yrs",6.23794926191482,0.0166211009753613,818.208285306484
"21","LASIUS mixtus_last10yrs",1.49737529592593,0.0209791613467661,153.80522469762
"22","LASIUS neglectus_last10yrs",1.4433906136318,0.00786417850515421,9.72475832363984
"23","LASIUS niger s.l._last10yrs",-0.797049268602347,0.0315115412386886,730.895041518867
"24","LASIUS niger s.s._last10yrs",2.01800067343883,0.569601460618059,329.972943748324
"25","LASIUS platythorax_last10yrs",-3.11634927711047,0.0724838359839031,307.113153859483
"26","LASIUS psammophilus_last10yrs",6.60000515993606,0.0335955264881916,597.048807620313
"27","LASIUS sabularum_last10yrs",0.603488131223449,0.0317203160910575,25.122744229348
"28","LASIUS umbratus_last10yrs",11.7184182707223,0.021264171667452,39.4753196839567
"29","LEPTOTHORAX acervorum_last10yrs",-0.507327029735409,0.143518522926855,198.109739385704
"30","LINEPITHEMA humile_last10yrs",-1.09509587005195,0.0375773377364535,8.9722194016687
"31","MONOMORIUM pharaonis_last10yrs",-0.229228276781045,0.219621527307614,13.7206853335576
"32","MYRMECINA graminicola_last10yrs",-0.278225680287477,0.0284113350807384,3425.85886669972
"33","MYRMICA hirsuta_last10yrs",-0.39732678369762,0.0230435540046852,9.41802484466307
"34","MYRMICA karavajevi_last10yrs",42.0940658734338,0.00111970861780443,67.8883232072892
"35","MYRMICA lobicornis_last10yrs",20.2996960847591,0.0109867511089138,2908.70242635157
"36","MYRMICA lonae_last10yrs",-0.0908867566522539,0.109289817284623,9.66562504278738
"37","MYRMICA rubra_last10yrs",-0.589785764183469,0.216003265575635,788.897496995081
"38","MYRMICA ruginodis_last10yrs",0.771823690274543,1.12701366707951,488.67978292019
"39","MYRMICA sabuleti_last10yrs",0.679844996823437,0.150278935694813,264.450148243874
"40","MYRMICA scabrinodis_last10yrs",1.73121774573588,0.505199422704804,267.088637787694
"41","MYRMICA schencki_last10yrs",6.59436982432932,0.0149749711808402,1707.99209872267
"42","MYRMICA specioides_last10yrs",-2.54795063609346,0.0402247280384502,9109.09567991289
"43","MYRMICA sulcinodis_last10yrs",-5.08156686869822,0.0194124984414191,17240.6697518468
"44","MYRMICA vandeli_last10yrs",-0.324689857548461,0.0399088913488397,33.098858719584
"45","PARATRECHINA longicornis_last10yrs",-0.717505976195702,0.0122868364445098,37.3241565015888
"46","PONERA coarctata_last10yrs",-14.1657956066356,0.0103071897903446,1142.91957319492
"47","PONERA testacea_last10yrs",-9.86470269275521,0.00429522483452808,6.41966377220366
"48","SOLENOPSIS fugax_last10yrs",-0.600744018440517,0.113670703879587,56.5373106694654
"49","STENAMMA debile_last10yrs",-0.532382654574795,0.0298728391471704,2031.59131175342
"50","STENAMMA westwoodii s.l._last10yrs",-9.10212302260185,0.00612115149725395,3689.17537359573
"51","STENAMMA westwoodii s.s._last10yrs",-0.5009136712363,0.0325425343283507,9.12389713984578
"52","STRONGYLOGNATHUS testaceus_last10yrs",-1.37853530030697,0.0203087462670031,12.4965528251791
"53","TAPINOMA erraticum s.l._last10yrs",-6.36242548532083,0.0107072773567727,22955.4421183923
"54","TEMNOTHORAX albipennis_last10yrs",-8.03689224822113,0.0140958977437288,8535.86650759521
"55","TEMNOTHORAX interruptus_last10yrs",-3.97732159307516,0.0139849636373359,52545.1430608559
"56","TEMNOTHORAX nylanderi_last10yrs",3.47573673465617,0.0526111136187512,592.493648952811
"57","TEMNOTHORAX unifasciatus_last10yrs",3.39930563400034,0.00414937192958858,10.9139987335926
"58","Tetramorium atratulum_last10yrs",-0.298431386410627,0.0101241918568578,11.8745079743226
"59","TETRAMORIUM bicarinatum_last10yrs",-1.0892835170821,0.044133656156775,7.34290516186688
"60","TETRAMORIUM caespitum_last10yrs",-2.82599815962829,0.0783868301769448,999.787880883589
